starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
HD2453,360,1,1,1.1767,0.0010,0.0059,0.0109
HD2453,440,2,1,1.1129,0.0009,0.0053,0.0094
HD2453,550,3,1,1.0148,0.0015,0.0085,-0.0068
HD2453,400,24,2,0.9042,0.0013,0.0067,-0.0617
HD2453,360,1,3,1.1780,0.0012,0.0042,0.0109
HD2453,440,2,3,1.1017,0.0013,0.0043,0.0094
HD2453,550,3,3,1.0107,0.0012,0.0035,-0.0068
HD3322,350,20,31,0.0367,0.0004,0.0033,0.0002
HD3322,410,21,31,0.5642,0.0004,0.0032,0.0018
HD3322,465,22,31,0.6100,0.0003,0.0027,0.0013
HD3322,550,23,31,0.6323,0.0005,0.0037,-0.0001
HD3980,350,20,4,7.2643,0.0025,0.0072,0.0275
HD3980,410,21,4,6.1458,0.0030,0.0121,0.1216
HD3980,465,22,4,5.7782,0.0037,0.0116,0.0334
HD3980,550,23,4,5.7086,0.0027,0.0112,0.0058
HD3980,350,20,5,1.5132,0.0023,0.0068,0.0275
HD3980,410,21,5,1.6380,0.0012,0.0058,0.1216
HD3980,465,22,5,1.4212,0.0025,0.0096,0.0334
HD3980,550,23,5,1.3466,0.0013,0.0065,0.0058
HD3980,517,70,5,1.3830,0.0018,0.0061,0.0239
HD3980,517,71,5,1.4073,0.0020,0.0066,0.0239
HD4778,360,1,9,0.4186,0.0006,0.0033,-0.0230
HD4778,440,2,9,0.1993,0.0012,0.0041,-0.0299
HD4778,550,3,9,0.1243,0.0024,0.0077,0.0218
HD5737,350,20,92.1,4.8028,0.0017,0.0085,-0.0130
HD5737,350,20,92.2,4.7953,0.0010,0.0085,-0.0130
HD5737,410,21,92.1,4.3128,0.0012,0.0174,-0.0106
HD5737,410,21,92.2,4.2822,0.0007,0.0174,-0.0106
HD5737,465,22,92.1,4.2577,0.0011,0.0053,-0.0069
HD5737,465,22,92.2,4.2520,0.0004,0.0053,-0.0069
HD5737,550,23,92.1,4.3186,0.0009,0.0054,-0.0077
HD5737,550,23,92.2,4.3217,0.0007,0.0054,-0.0077
HD5737,350,20,93,4.8266,0.0010,0.0142,-0.0130
HD5737,410,21,93,4.2866,0.0005,0.0076,-0.0106
HD5737,465,22,93,4.2560,0.0006,0.0077,-0.0069
HD5737,550,23,93,4.3212,0.0006,0.0079,-0.0077
HD5737,360,1,100,0.8399,0.0016,0.0081,-0.0023
HD5737,440,2,100,0.4906,0.0011,0.0056,0.0004
HD5737,550,3,100,0.1450,0.0009,0.0042,-0.0077
HD5737,700,4,100,0.4568,0.0015,0.0051,-0.0010
HD5737,640,5,100,0.7510,0.0014,0.0074,0.0039
HD5797,350,20,2,1.6145,0.0016,0.0093,-0.0422
HD5797,410,21,2,1.1120,0.0014,0.0064,0.0144
HD5797,465,22,2,0.9083,0.0008,0.0032,-0.0247
HD5797,550,23,2,0.7858,0.0014,0.0057,-0.0265
HD6178,350,20,92,7.0466,0.0017,0.0190,0.0095
HD6178,410,21,92,5.7773,0.0007,0.0082,0.0077
HD6178,465,22,92,5.5503,0.0005,0.0055,0.0056
HD6178,550,23,92,5.5115,0.0006,0.0063,0.0007
HD6178,350,20,93,7.0660,0.0011,0.0125,0.0095
HD6178,410,21,93,5.7891,0.0008,0.0092,0.0077
HD6178,465,22,93,5.5505,0.0007,0.0081,0.0056
HD6178,550,23,93,5.5125,0.0008,0.0082,0.0007
HD6178,350,20,97,7.0614,0.0014,0.0111,0.0095
HD6178,410,21,97,5.7875,0.0010,0.0085,0.0077
HD6178,465,22,97,5.5500,0.0009,0.0078,0.0056
HD6178,550,23,97,5.5182,0.0009,0.0065,0.0007
HD6178,350,20,98,7.0571,0.0017,0.0093,0.0095
HD6178,410,21,98,5.7844,0.0018,0.0104,0.0077
HD6178,465,22,98,5.5482,0.0014,0.0081,0.0056
HD6178,550,23,98,5.5164,0.0015,0.0078,0.0007
HD6491,360,1,94,1.5092,0.0005,0.0053,-0.0124
HD6491,440,2,94,1.5018,0.0005,0.0052,-0.0175
HD6491,550,3,94,1.6012,0.0004,0.0041,-0.0126
HD6491,700,4,94,1.6587,0.0006,0.0041,-0.0126
HD6491,880,6,94,1.7105,0.0005,0.0035,-0.0077
HD6532,360,1,94,1.6553,0.0008,0.0052,0.0291
HD6532,440,2,94,1.6023,0.0007,0.0049,0.0152
HD6532,550,3,94,1.9072,0.0006,0.0039,-0.0154
HD6532,790,4,94,2.2223,0.0136,0.1156,-0.0186
HD6532,790,6,94,2.3244,0.0007,0.0037,-0.0186
HD7676,440,2,12,8.6289,0.0089,0.0415,0.1609
HD7676,550,3,12,8.3949,0.0084,0.0278,0.0259
HD7676,350,20,13,9.9431,0.0025,0.0132,0.0405
HD7676,410,21,13,8.8846,0.0021,0.0122,0.1966
HD7676,465,22,13,8.5019,0.0016,0.0090,0.0921
HD7676,550,23,13,8.4076,0.0018,0.0081,0.0259
HD7676,350,20,14,9.9496,0.0015,0.0125,0.0405
HD7676,410,21,14,8.8864,0.0011,0.0099,0.1966
HD7676,465,22,14,8.5044,0.0008,0.0072,0.0921
HD7676,550,23,14,8.4098,0.0010,0.0063,0.0259
HD11187,350,20,19,0.3407,0.0004,0.0044,0.0000
HD11187,410,21,19,0.7383,0.0004,0.0041,0.0000
HD11187,465,22,19,0.8094,0.0003,0.0037,0.0000
HD11187,550,23,19,0.8661,0.0004,0.0037,0.0000
HD14392,350,20,16,-0.3443,0.0015,0.0148,-0.0301
HD14392,410,21,16,0.1656,0.0009,0.0086,-0.0179
HD14392,465,22,16,0.2236,0.0007,0.0066,-0.0190
HD14392,550,23,16,0.2552,0.0007,0.0066,-0.0155
HD15144,350,20,19,1.1891,0.0007,0.0065,-0.0002
HD15144,410,21,19,1.1907,0.0007,0.0054,-0.0043
HD15144,465,22,19,1.0274,0.0007,0.0061,-0.0007
HD15144,550,23,19,0.9603,0.0008,0.0057,0.0020
HD15980,350,20,17,1.9285,0.0008,0.0081,0.0000
HD15980,410,21,17,1.4719,0.0004,0.0038,0.0000
HD15980,465,22,17,1.3617,0.0003,0.0032,0.0000
HD15980,550,23,17,1.3881,0.0003,0.0031,0.0000
HD19832,360,1,91,-1.2270,0.0003,0.0070,0.0712
HD19832,440,2,91,-0.7413,0.0003,0.0052,0.0487
HD19832,550,3,91,-0.6358,0.0003,0.0062,0.0312
HD19832,360,1,91,-1.2190,0.0005,0.0096,0.0712
HD19832,440,2,91,-0.7465,0.0003,0.0059,0.0487
HD19832,550,3,91,-0.6341,0.0004,0.0069,0.0312
HD19832,360,1,91,-1.2175,0.0004,0.0052,0.0712
HD19832,440,2,91,-0.7456,0.0002,0.0034,0.0487
HD19832,550,3,91,-0.6336,0.0003,0.0048,0.0312
HD19832,360,1,91,-1.2146,0.0004,0.0067,0.0712
HD19832,440,2,91,-0.7459,0.0004,0.0069,0.0487
HD19832,550,3,91,-0.6348,0.0004,0.0063,0.0312
HD19832,360,1,92,-1.2313,0.0006,0.0088,0.0712
HD19832,440,2,92,-0.7430,0.0005,0.0067,0.0487
HD19832,550,3,92,-0.6337,0.0005,0.0069,0.0312
HD22316,350,20,17,-0.1877,0.0004,0.0031,-0.0143
HD22316,410,21,17,0.1023,0.0004,0.0032,-0.0073
HD22316,465,22,17,0.1221,0.0003,0.0026,-0.0108
HD22316,550,23,17,0.1904,0.0002,0.0019,-0.0092
HD22316,350,20,17,-1.9098,0.0018,0.0051,-0.0143
HD22316,410,21,17,-1.4149,0.0005,0.0019,-0.0073
HD22316,465,22,17,-1.2954,0.0007,0.0021,-0.0108
HD22316,550,23,17,-1.1992,0.0010,0.0030,-0.0092
HD22470,350,20,19,0.0925,0.0012,0.0098,0.1122
HD22470,410,21,19,0.7838,0.0009,0.0075,0.0492
HD22470,465,22,19,0.9217,0.0007,0.0055,0.0528
HD22470,550,23,19,1.0234,0.0009,0.0072,0.0484
HD22470,350,20,20,0.0743,0.0007,0.0068,0.1122
HD22470,410,21,20,0.8365,0.0007,0.0072,0.0492
HD22470,465,22,20,0.9526,0.0008,0.0084,0.0528
HD22470,550,23,20,1.0498,0.0008,0.0081,0.0484
HD26571,350,20,20,0.0208,0.0006,0.0058,-0.0341
HD26571,410,21,20,0.3941,0.0004,0.0042,-0.0268
HD26571,465,22,20,0.5098,0.0004,0.0035,-0.0267
HD26571,550,23,20,0.5096,0.0003,0.0031,-0.0210
HD27309,350,20,22.1,-0.6622,0.0009,0.0055,0.1147
HD27309,410,21,22.1,-0.4822,0.0007,0.0044,0.0397
HD27309,465,22,22.1,-0.3737,0.0014,0.0089,0.0614
HD27309,550,23,22.1,-0.2209,0.0013,0.0072,0.0509
HD27309,360,40,22.2,5.1757,0.0035,0.0196,0.0971
HD27309,440,41,22.2,4.2415,0.0023,0.0120,0.0535
HD27309,550,42,22.2,5.3683,0.0008,0.0069,0.0509
HD27309,450,43,22.2,5.0746,0.0031,0.0146,0.0510
HD27309,440,44,22.2,5.7783,0.0024,0.0132,0.0535
HD27309,550,45,22.2,6.0604,0.0025,0.0131,0.0509
HD27309,581,46,22.2,6.5391,0.0026,0.0145,0.0670
HD27309,350,50,23,-1.2940,0.0060,0.0229,0.1147
HD27309,360,51,23,-1.0806,0.0044,0.0172,0.0971
HD27309,410,52,23,-0.8484,0.0021,0.0083,0.0397
HD27309,465,53,23,-0.5135,0.0034,0.0146,0.0614
HD27309,510,54,23,-0.3385,0.0085,0.0211,0.0560
HD27309,550,55,23,-0.2773,0.0036,0.0132,0.0509
HD27309,635,56,23,-0.1483,0.0039,0.0137,0.0600
HD27309,635,57,23,-0.0636,0.0047,0.0152,0.0600
HD27309,740,58,23,0.0528,0.0042,0.0135,0.0622
HD27309,740,59,23,0.1312,0.0059,0.0191,0.0622
HD27309,350,50,24,-1.2988,0.0017,0.0082,0.1147
HD27309,360,51,24,-1.0858,0.0020,0.0095,0.0971
HD27309,410,52,24,-0.8364,0.0010,0.0051,0.0397
HD27309,465,53,24,-0.5285,0.0023,0.0128,0.0614
HD27309,510,54,24,-0.3441,0.0050,0.0158,0.0560
HD27309,550,55,24,-0.2754,0.0012,0.0056,0.0509
HD27309,635,56,24,-0.1427,0.0015,0.0065,0.0600
HD27309,635,57,24,-0.0586,0.0013,0.0055,0.0600
HD27309,740,58,24,0.0551,0.0019,0.0081,0.0622
HD27309,740,59,24,0.1236,0.0023,0.0095,0.0622
HD28843,2200,7,6,6.0692,0.0064,0.0170,0.0825
HD28843,2200,8,6,6.1010,0.0075,0.0199,0.0825
HD28843,2200,9,6,6.1591,0.0176,0.0465,0.0825
HD28843,2200,10,6,6.1019,0.0106,0.0280,0.0825
HD28843,2200,11,6,5.7301,0.0831,0.2082,0.0825
HD28843,350,20,26,6.2405,0.0011,0.0028,0.1466
HD28843,410,21,26,5.7618,0.0021,0.0062,0.1261
HD28843,465,22,26,5.7245,0.0022,0.0071,0.1148
HD28843,550,23,26,5.7745,0.0016,0.0054,0.0909
HD28843,440,41,46,4.6267,0.0015,0.0077,0.1288
HD28843,550,42,46,5.7503,0.0014,0.0074,0.0909
HD28843,350,20,92,6.2195,0.0036,0.0187,0.1466
HD28843,410,21,92,5.7559,0.0015,0.0083,0.1261
HD28843,465,22,92,5.7085,0.0012,0.0072,0.1148
HD28843,550,23,92,5.7639,0.0014,0.0086,0.0909
HD28843,350,20,93,6.2559,0.0023,0.0144,0.1466
HD28843,410,21,93,5.7681,0.0021,0.0142,0.1261
HD28843,465,22,93,5.7174,0.0014,0.0098,0.1148
HD28843,550,23,93,5.7717,0.0013,0.0099,0.0909
HD28843,350,20,97,6.2577,0.0037,0.0082,0.1466
HD28843,410,21,97,5.7741,0.0043,0.0118,0.1261
HD28843,465,22,97,5.7217,0.0046,0.0120,0.1148
HD28843,550,23,97,5.7741,0.0044,0.0118,0.0909
HD29009,350,20,92,6.3488,0.0013,0.0217,-0.0111
HD29009,410,21,92,5.7490,0.0000,0.0000,0.0000
HD29009,465,22,92,5.6740,0.0000,0.0000,0.0000
HD29009,550,23,92,5.7180,0.0000,0.0000,0.0000
HD29009,350,20,93,6.3772,0.0013,0.0195,-0.0111
HD29009,410,21,93,5.7332,0.0000,0.0160,0.0000
HD29009,465,22,93,5.6666,0.0001,0.0142,0.0000
HD29009,550,23,93,5.7202,0.0000,0.0117,0.0000
HD30849,350,20,4,10.6388,0.0020,0.0066,0.0448
HD30849,410,21,4,9.4516,0.0043,0.0185,0.0912
HD30849,465,22,4,9.0172,0.0000,0.0165,0.0297
HD30849,550,23,4,8.8568,0.0054,0.0126,0.0033
HD30849,550,3,27.2,8.8584,0.0022,0.0070,0.0033
HD30849,350,20,27.1,0.9829,0.0012,0.0071,0.0448
HD30849,410,21,27.1,0.9557,0.0013,0.0091,0.0912
HD30849,350,20,29,0.9789,0.0085,0.0191,0.0448
HD30849,410,21,29,0.9509,0.0110,0.0334,0.0912
HD30849,465,22,29,0.8255,0.0000,0.0000,0.0297
HD30849,550,23,29,0.7898,0.0204,0.0295,0.0033
HD32633,360,1,7,6.5910,0.0019,0.0085,-0.0441
HD32633,440,2,7,7.0130,0.0015,0.0059,-0.0299
HD32633,550,3,7,7.0621,0.0015,0.0063,-0.0238
HD32633,350,20,30,-0.2584,0.0004,0.0033,-0.0471
HD32633,410,21,30,0.2836,0.0003,0.0029,-0.0276
HD32633,465,22,30,0.4364,0.0003,0.0024,-0.0277
HD32633,550,23,30,0.5494,0.0003,0.0028,-0.0238
HD32633,350,20,87,-0.2648,0.0005,0.0035,-0.0471
HD32633,410,21,87,0.2872,0.0004,0.0030,-0.0276
HD32633,465,22,87,0.4490,0.0005,0.0040,-0.0277
HD32633,550,23,87,0.5607,0.0004,0.0031,-0.0238
HD32650,350,20,37,-0.7412,0.0006,0.0045,-0.1091
HD32650,410,21,37,-0.4227,0.0005,0.0040,-0.0461
HD32650,465,22,37,-0.4805,0.0005,0.0035,-0.0480
HD32650,550,23,37,-0.3801,0.0004,0.0032,-0.0403
HD32966,350,20,4,7.7108,0.0047,0.0095,-0.1623
HD32966,410,21,4,7.1463,0.0085,0.0163,-0.1463
HD32966,465,22,4,7.0827,0.0091,0.0211,-0.1255
HD32966,550,23,4,7.1228,0.0052,0.0098,-0.0992
HD32966,350,20,31,1.6009,0.0007,0.0050,-0.1623
HD32966,410,21,31,1.1067,0.0007,0.0049,-0.1463
HD32966,465,22,31,1.0495,0.0004,0.0038,-0.1255
