referenceId,starId,author,bibcode,referenceStarIds
0,HD1048,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD1048,"Winzer, John Ernest","1974PhDT........61W","HD1083"
0,HD2453,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
1,HD2453,"Catalano, F. A.; Leone, F.","1990A&AS...83..491C","HD1439,HD952"
2,HD2453,"Wolff, S. C. ","1975ApJ...202..127W","?"
3,HD2453,"Winzer, J. E.","1974AJ.....79..124W","HD1439"
0,HD3322,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
31,HD3322,"Adelman, Saul J.; Meadows, S. A.","2002A&A...390.1023A","HD1439"
58,HD3322,"Winzer, John Ernest","1974PhDT........61W","HD2924"
111,HD3322,"Pojmanski, G.","2002AcA....52..397P",""
0,HD3580,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
117,HD3580,"Hensberge, H.; de Loore, C.; Zuiderwijk, E. J.","1977A&A....54..443H","HD4622"
119,HD3580,"Hensberge, H.; Sterken, C.; van der Linden, T.","1978A&AS...34...67H","HD4622"
0,HD3980,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
4,HD3980,"Vogt, N.; Faundez, A. M.","1979A&AS...36..477V",""
5,HD3980,"Maitzen, H. M.; Weiss, W. W.; Wood, H. J.","1980A&A....81..323M ","HD4150"
6,HD3980,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
0,HD4778,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
9,HD4778,"Rakos, Karl D.","1968PASP...80..324R","HD4335,HD4364"
58,HD4778,"Winzer, John Ernest","1974PhDT........61W","HD4335"
0,HD5601,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
27.1,HD5601,"Hensberge, H.; Deridder, G.; Doom, C.; and co.","1981A&AS...46..151H","HD31640"
27.2,HD5601,"Hensberge, H.; Deridder, G.; Doom, C.; and co.","1981A&AS...46..151H",""
0,HD5737,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
6,HD5737,"Groote, D.; Kaufmann, J. P.","1983A&AS...53...91G",""
92.1,HD5737,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",""
92.2,HD5737,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",""
93,HD5737,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",""
94,HD5737,"Kurtz, D. W.; Marang, F.","1987MNRAS.228..141K","HD7259"
0,HD5797,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
2,HD5797,"Wolff, S. C.","1975ApJ...202..127W","HD5380"
142,HD5797,"Dukes, Robert J., Jr.; Adelman, Saul J.","2018PASP..130d4202D","HD5408"
0,HD6178,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
92,HD6178,"Manfroid, J.; Sterken, C.; Bruch, A.; et al.","1995yCat.2170....0M",""
93,HD6178,"Sterken, C.; Manfroid, J.; Anton, K.; et al.","1995yCat.2188....0S",""
97,HD6178,"Manfroid, J.; Sterken, C.; et al.","1995yCat.2200....0M",""
98,HD6178,"Sterken, C.; Manfroid, J.; et al.","1996yCat.2202....0S",""
0,HD6491,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
94,HD6491,"Kurtz, D. W.; Marang, F.","1987MNRAS.228..141K","HD7259"
0,HD6532,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
94,HD6532,"Kurtz, D. W.; Marang, F.","1987MNRAS.228..141K","HD7259"
0,HD7374,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD7374,"Winzer, John Ernest","1974PhDT........61W","HD6397"
0,HD7546,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD7546,"Winzer, John Ernest","1974PhDT........61W","HD6564"
0,HD7676,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
12,HD7676,"Strohmeier, W","1965IBVS...89....1S",""
13,HD7676,"Sterken, C.; Manfroid, J.; Beele, D.; et al.","1995A&AS..113...31S",""
14,HD7676,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.","1995A&AS..109..329M",""
0,HD8441,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
104,HD8441,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862"
0,HD10221,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD10221,"Winzer, John Ernest","1974PhDT........61W","HD6829"
0,HD10783,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
77,HD10783,"van Genderen, A. M.","1971A&A....14...48V","HD10262"
0,HD11187,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
19,HD11187,"Adelman, S. J.; Boyce, P. W.","1995A&AS..114..253A","HD11335"
0,HD11291,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
58,HD11291,"Winzer, John Ernest","1974PhDT........61W","HD11335"
0,HD12288,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
104,HD12288,"Wolff, Sidney C.; Morrison, Nancy D.","1973PASP...85..141W","HD8710,HD8862"
58,HD12447,"Winzer, John Ernest","1974PhDT........61W","HD13467"
115,HD12447,"Adelman, Saul J.; Woodrow, Stephanie L.","2007PASP..119.1256A","HD12573"
0,HD14392,"ESA 1997, The Tycho Catalogues","1997ESASP1200.....P",""
16,HD14392,"Adelman, S. J.; Knox, J. R., Jr.","1994A&AS..103....1A","HD14212"
