starId,lambdaEff,filter,referenceId,magAverage,magError,stdError,amplitudeEff
1512443,510,30,0,6.9090,0.0004,0.0049,0.0067
1512443,440,31,0,6.9977,0.0049,0.0480,0.0094
1512443,550,32,0,6.8759,0.0055,0.0524,-0.0068
1512443,360,1,1,1.1767,0.0010,0.0059,0.0109
1512443,440,2,1,1.1129,0.0009,0.0053,0.0094
1512443,550,3,1,1.0148,0.0015,0.0085,-0.0068
1512443,400,24,2,0.9042,0.0013,0.0067,-0.0617
1512443,360,1,3,1.1780,0.0012,0.0042,0.0109
1512443,440,2,3,1.1017,0.0013,0.0043,0.0094
1512443,550,3,3,1.0107,0.0012,0.0035,-0.0068
1493452,510,30,0,6.4894,0.0012,0.0083,0.0021
1493452,440,31,0,6.4015,0.0043,0.0378,0.0231
1493452,550,32,0,6.4883,0.0054,0.0448,-0.0001
1493452,350,20,31,0.0367,0.0004,0.0033,0.0002
1493452,410,21,31,0.5642,0.0004,0.0032,0.0018
1493452,465,22,31,0.6100,0.0003,0.0027,0.0013
1493452,550,23,31,0.6323,0.0005,0.0037,-0.0001
3231473,510,30,0,8.3564,0.0015,0.0142,0.0083
3231473,440,31,0,8.4050,0.0078,0.0970,-0.0183
3231473,550,32,0,8.3051,0.0072,0.1055,0.0058
3231473,350,20,4,7.2643,0.0025,0.0072,0.0275
3231473,410,21,4,6.1458,0.0030,0.0121,0.1216
3231473,465,22,4,5.7782,0.0037,0.0116,0.0334
3231473,550,23,4,5.7086,0.0027,0.0112,0.0058
3231473,350,20,5,1.5132,0.0023,0.0068,0.0275
3231473,410,21,5,1.6380,0.0012,0.0058,0.1216
3231473,465,22,5,1.4212,0.0025,0.0096,0.0334
3231473,550,23,5,1.3466,0.0013,0.0065,0.0058
3231473,517,70,5,1.3830,0.0018,0.0061,0.0239
3231473,517,71,5,1.4073,0.0020,0.0066,0.0239
8278,510,30,0,6.1511,0.0006,0.0056,0.0181
8278,440,31,0,6.1763,0.0019,0.0297,-0.0299
8278,550,32,0,6.1313,0.0030,0.0369,0.0218
8278,360,1,9,0.4186,0.0006,0.0033,-0.0230
8278,440,2,9,0.1993,0.0012,0.0041,-0.0299
8278,550,3,9,0.1243,0.0024,0.0077,0.0218
1246073,510,30,0,4.2629,0.0005,0.0044,0.0034
1246073,440,31,0,4.1241,0.0021,0.0229,0.0004
1246073,550,32,0,4.2840,0.0024,0.0237,-0.0077
1246073,350,20,92.1,4.8028,0.0017,0.0085,-0.0130
1246073,350,20,92.2,4.7953,0.0010,0.0085,-0.0130
1246073,410,21,92.1,4.3128,0.0012,0.0174,-0.0106
1246073,410,21,92.2,4.2822,0.0007,0.0174,-0.0106
1246073,465,22,92.1,4.2577,0.0011,0.0053,-0.0069
1246073,465,22,92.1,4.2520,0.0004,0.0053,-0.0069
1246073,550,23,92.1,4.3186,0.0009,0.0054,-0.0077
1246073,550,23,92.1,4.3217,0.0007,0.0054,-0.0077
1246073,350,20,93,4.8266,0.0010,0.0142,-0.0130
1246073,410,21,93,4.2866,0.0005,0.0076,-0.0106
1246073,465,22,93,4.2560,0.0006,0.0077,-0.0069
1246073,550,23,93,4.3212,0.0006,0.0079,-0.0077
1246073,360,1,100,0.8399,0.0016,0.0081,-0.0023
1246073,440,2,100,0.4906,0.0011,0.0056,0.0004
1246073,550,3,100,0.1450,0.0009,0.0042,-0.0077
1246073,700,4,100,0.4568,0.0015,0.0051,-0.0010
1246073,640,5,100,0.7510,0.0014,0.0074,0.0039
132281,510,30,0,8.5134,0.0014,0.0167,-0.0311
132281,440,31,0,8.7170,0.0099,0.1282,0.0384
132281,550,32,0,8.4920,0.0094,0.1345,-0.0265
132281,350,20,2,1.6145,0.0016,0.0093,-0.0422
132281,410,21,2,1.1120,0.0014,0.0064,0.0144
132281,465,22,2,0.9083,0.0008,0.0032,-0.0247
132281,550,23,2,0.7858,0.0014,0.0057,-0.0265
1226565,510,30,0,5.5411,0.0004,0.0058,-0.0027
1226565,440,31,0,5.6220,0.0021,0.0253,-0.0106
1226565,550,32,0,5.5190,0.0028,0.0295,0.0007
1226565,350,20,92,7.0466,0.0017,0.0190,0.0095
