referenceId,starId,author,bibcode,referenceStarIds
1,1512443,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD1439,HD952"
1,560666,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD71844,HD70273"
1,1096072,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD73451,HD73997"
1,2256037,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD127167,HD125489"
2,1512443,"Wolff, S. C. ",1975ApJ...202..127W,?
2,132281,"Wolff, S. C.",1975ApJ...202..127W,HD5380
2,1634860,"Wolff, S. C.",1975ApJ...202..127W,HD80447
2,2102052,"Wolff, S. C.",1975ApJ...202..127W,HD114520
3,1512443,"Winzer, J. E.",1974AJ.....79..124W,HD1439
3,2851647,"Winzer, J. E.",1974AJ.....79..124W,HD191747
4,3231473,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,2981659,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,772305,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,827032,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,3206422,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,3363292,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,2256037,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,3350860,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
5,3231473,"Maitzen, H. M.; Weiss, W. W.; Wood, H. J.","1980A&A....81..323M ",HD4150
6,3231473,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1246073,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1298708,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,666094,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,677544,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,684210,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,722159,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,722478,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,3024532,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,772382,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,827499,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,871077,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,930623,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,928364,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1096072,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,3032676,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1113054,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1604872,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1634860,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1712363,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,3206422,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1779210,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1811341,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1992754,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,2236380,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,11584640,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,3471517,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,2400277,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,1150019,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
7,756054,"Preston, George W.; Stepien, Kazimierz",1968ApJ...151..577P,
9,8278,"Rakos, Karl D.",1968PASP...80..324R,"HD4335,HD4364"
12,1212237,"Strohmeier, W",1965IBVS...89....1S,
13,1212237,"Sterken, C.; Manfroid, J.; Beele, D.; et al.",1995A&AS..113...31S,
13,2630671,"Sterken, C.; Manfroid, J.; Beele, D.; et al.",1995A&AS..113...31S,
14,1212237,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.",1995A&AS..109..329M,
14,2630671,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.",1995A&AS..109..329M,
16,85374,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD14212
16,2851647,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD191747
16,1497887,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD205420
16,1295077,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD222847
17,10680,"Adelman, Saul J.",1999A&AS..134...53A,HD16219
17,2102052,"Adelman, Saul J.",1999A&AS..134...53A,HD116233
17.1,227979,"Adelman, Saul J.",1999A&AS..134...53A,HD23383
17.1,921413,"Adelman, Saul J.",1999A&AS..134...53A,HD48097
17.2,227979,"Adelman, Saul J.",1999A&AS..134...53A,HD21447
17.2,921413,"Adelman, Saul J.",1999A&AS..134...53A,HD47863
19,109142,"Adelman, S. J.; Boyce, P. W.",1995A&AS..114..253A,HD11335
19,1298708,"Adelman, S. J.; Boyce, P. W.",1995A&AS..114..253A,HD15130
19,666094,"Adelman, S. J.; Boyce, P. W.",1995A&AS..114..253A,HD23055
19,1501079,"Adelman, S. J.; Boyce, P. W.",1995A&AS..114..253A,HD220933
20,666094,"Adelman, Saul J.",2000A&AS..146...13A,HD23055
20,698910,"Adelman, Saul J.",2000A&AS..146...13A,HD27176
20,930623,"Adelman, Saul J.",2000A&AS..146...13A,HD47703
20,2543469,"Adelman, Saul J.",2000A&AS..146...13A,HD132230
21,698910,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD27176
21,745846,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD33276
21,335750,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD40626
21,953004,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD57744
21.1,1131707,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD76543
21.2,1131707,"Adelman, Saul J.; Brunhouse, Eric F.",1998PASP..110.1304A,HD74873
22,707870,"North, P.; Adelman, S. J.",1995A&AS..111...41N,HD27176
22,1992754,"North, P.; Adelman, S. J.",1995A&AS..111...41N,HD109860
22,2256037,"North, P.; Adelman, S. J.",1995A&AS..111...41N,"HD127167,HD125489"
22,101981,"North, P.; Adelman, S. J.",1995A&AS..111...41N,HD215501
23,707870,"Nikolov, A. S.",1974IBVS..942....1N,HD27176
24,707870,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD27176
24,934473,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD50973
24,530581,"Musielok, B.; Lange, D.; Schoenich, W.; and co.",1980AN....301...71M,HD106591
24,500796,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD120874
24,194506,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD184787
24,2630671,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD189359
24.1,2851647,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD192518
24.2,2851647,"Musielok, B.; Lange, D.; Schoenich, W.; et al.",1980AN....301...71M,HD191747
26,722159,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
26,827499,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
26,930623,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
26,2994943,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
26,3471517,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
26,2400277,"Pedersen, H.; Thomsen, B.",1977A&AS...30...11P,
27,2981659,"Hensberge, H.; Deridder, G.; Doom, C.; et al.",1981A&AS...46..151H,HD31640
27,827032,"Hensberge, H.; Deridder, G.; Doom, C.; et al.",1981A&AS...46..151H,HD38856
27,2963260,"Hensberge, H.; Deridder, G.; Doom, C.; and co.",1981A&AS...46..151H,HD56456
27,1634860,"Hensberge, H.; Deridder, G.; Doom, C.; et al.",1981A&AS...46..151H,HD80447
27.1,1334974,"Hensberge, H.; Deridder, G.; Doom, C.; and co.",1981A&AS...46..151H,HD31640
27.2,1334974,"Hensberge, H.; Deridder, G.; Doom, C.; and co.",1981A&AS...46..151H,
29,2981659,"Hensberge, H.; Weiss, W. W.; et al.",1982IBVS.2170....1H,HD31640
30,756054,"Adelman, S. J.",1997A&AS..122..249A,HD32608
30,1717685,"Adelman, S. J.",1997A&AS..122..249A,HD90882
30,299644,"Adelman, S. J.",1997A&AS..122..249A,HD179933
30,32337,"Adelman, S. J.",1997A&AS..122..249A,HD200030
31,1493452,"Adelman, Saul J.; Meadows, S. A.",2002A&A...390.1023A,HD1439
31,772305,"Adelman, Saul J.; Meadows, S. A.",2002A&A...390.1023A,HD31726
31,2671669,"Adelman, Saul J.; Meadows, S. A.",2002A&A...390.1023A,HD170200
31,31219,"Adelman, Saul J.; Meadows, S. A.",2002A&A...390.1023A,HD197392
32,798842,"Adelman, Saul J.",2000A&A...357..548A,HD33647
32,576631,"Adelman, Saul J.",2000A&A...357..548A,HD79763
32,1679453,"Adelman, Saul J.",2000A&A...357..548A,HD88182
32,5542,"Adelman, Saul J.",2000A&A...357..548A,HD219891
33,827499,"Adelman, S. J.",1997A&AS..125...65A,HD36591
33,871077,"Adelman, S. J.",1997A&AS..125...65A,HD43153
33,2671296,"Adelman, S. J.",1997A&AS..125...65A,HD169578
33,1295077,"Adelman, S. J.",1997A&AS..125...65A,HD222847
34,934473,"Gulliver, A. F.; Winzer, J. E.",1973ApJ...183..701G,HD50037
35,934473,"Pyper, D. M.; Adelman, S. J.",1983A&AS...51..365P,HD50037
36,394588,"Bonsack, W. K.; Pilachowski, C. A.; Wolff",1974ApJ...187..265B,
37,306083,"Adelman, Saul J.",1997PASP..109....9A,HD33541
37,836292,"Adelman, Saul J.",1997PASP..109....9A,HD39182
37,394588,"Adelman, Saul J.",1997PASP..109....9A,HD61497
37,1634860,"Adelman, Saul J.",1997PASP..109....9A,HD80447
38,2976986,"Renson, P.; Manfroid, J.",1978A&AS...34..445R,HD65211
38,3044458,"Renson, P.; Manfroid, J.",1978A&AS...34..445R,"HD82578,HD84552"
38,1797581,"Renson, P.; Manfroid, J.",1978A&AS...34..445R,"HD98176,HD95370"
39,3024532,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,HD24863
39,772382,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,"HD34816,HD35337"
39,804754,"Heck, A.; Mathys, G.; Manfroid, J.",1987A&AS...70...33H,HD36342
