referenceId,starId,author,bibcode,referenceStarIds
1,HD2453,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD1439,HD952"
1,HD71866,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD71844,HD70273"
1,HD72968,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD73451,HD73997"
1,HD126515,"Catalano, F. A.; Leone, F.",1990A&AS...83..491C,"HD127167,HD125489"
2,HD2453,"Wolff, S. C. ",1975ApJ...202..127W,?
2,HD5797,"Wolff, S. C.",1975ApJ...202..127W,HD5380
2,HD81009,"Wolff, S. C.",1975ApJ...202..127W,HD80447
2,HD115708,"Wolff, S. C.",1975ApJ...202..127W,HD114520
3,HD2453,"Winzer, J. E.",1974AJ.....79..124W,HD1439
3,HD192913,"Winzer, J. E.",1974AJ.....79..124W,HD191747
4,HD3980,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD30849,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD32966,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD38823,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD92664,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD125630,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD126515,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
4,HD206653,"Vogt, N.; Faundez, A. M.",1979A&AS...36..477V,
5,HD3980,"Maitzen, H. M.; Weiss, W. W.; Wood, H. J.",1980A&A....81..323M ,HD4150
6,HD3980,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD5737,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD15144,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD22470,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD24155,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD24712,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD28843,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD29009,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD29305,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD33904,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD37776,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD43819,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD49333,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD49976,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD72968,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD74196,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD74521,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD78316,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD81009,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD90569,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD92664,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD94660,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD98088,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD111133,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD124224,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD125248,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD125823,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD142990,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
6,HD221760,"Groote, D.; Kaufmann, J. P.",1983A&AS...53...91G,
7,HD32633,"Preston, George W.; Stepien, Kazimierz",1968ApJ...151..577P,
9,HD4778,"Rakos, Karl D.",1968PASP...80..324R,"HD4335,HD4364"
12,HD7676,"Strohmeier, W",1965IBVS...89....1S,
13,HD7676,"Sterken, C.; Manfroid, J.; Beele, D.; et al.",1995A&AS..113...31S,
13,HD188041,"Sterken, C.; Manfroid, J.; Beele, D.; et al.",1995A&AS..113...31S,
14,HD7676,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.",1995A&AS..109..329M,
14,HD188041,"Manfroid, J.; Sterken, C.; Cunow, B.; et al.",1995A&AS..109..329M,
16,HD14392,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD14212
16,HD192913,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD191747
16,HD205087,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD205420
16,HD223640,"Adelman, S. J.; Knox, J. R., Jr.",1994A&AS..103....1A,HD222847
17,HD15980,"Adelman, Saul J.",1999A&AS..134...53A,HD16219
17,HD115708,"Adelman, Saul J.",1999A&AS..134...53A,HD116233
17.1,HD22316,"Adelman, Saul J.",1999A&AS..134...53A,HD23383
